,0
gc_content,0.1890969872760652
snp_dist_centre,0.07764635411993731
c4_frac,0.06873178202595803
c3_snp_window,0.06471076481659763
c4_mean,0.05545240880048903
c1_std,0.04160748901156706
c3_max,0.039310193841770404
c1_mean,0.039206126026689686
c3_snp_row,0.03449894574885595
snp_rel_pos,0.03310431453368139
seq_len,0.03238391027644313
c2_std,0.03019905102207849
c3_frac_01,0.026860995501540866
c3_peak_mean_ratio,0.02609465496757258
c3_std,0.026094213264278694
pairs_gained,0.024408950422913953
c1c2_corr,0.024365433030202204
pairs_lost,0.023276257776271514
c2_frac_high,0.021483314859900446
c2_snp_row,0.020970076920103473
c3_frac_03,0.020816234458204068
c1_frac_high,0.01801733527946965
c2_mean,0.017470135374888476
c1_snp_row,0.016982211847999418
c3_sum,0.009791748456416508
c3_mean,0.006997040317361997
c2_max,0.006286789155652137
c1_max,0.004136280867090791
